Nodes	Total	Propagate	Spatial-space	Velocity-space
1	2391	2300	1247	986
2	2610	2517	1447	977
4	2678	2567	1427	1013
8	2870	2737	1566	1026
16	2894	2741	1577	1022
32	2967	2818	1645	1024
64	3050	2879	1699	1025
128	3101	2930	1750	1025
200	3325	3137	1934	1034
1	2391	2300	1247	986
2	2650	2558	1462	994
4	2701	2576	1436	1010
8	2854	2716	1554	1021
16	2940	2794	1642	1016
32	3062	2898	1721	1026
64	3087	2913	1727	1028
128	3175	3012	1829	1025
200	3321	3140	1936	1035
1	2391	2300	1247	986
4	2849	2725	1574	1003
16	3304	3155	1943	1029
64	3693	3507	2222	1059

