Nodes	Total	Propagate	Spatial-space	Velocity-space
1	2200	2125	1046	1003
2	2469	2376	1275	1002
4	2527	2414	1251	1024
8	2655	2514	1320	1033
16	2685	2537	1336	1035
32	2798	2603	1391	1037
64	2808	2629	1408	1035
128	2863	2670	1432	1040
256	2935	2706	1453	1043
512	2983	2761	1486	1054
2	2450	2355	1248	1001
4	2516	2402	1237	1027
8	2654	2508	1322	1027
16	2717	2567	1367	1038
32	2798	2629	1418	1037
64	2848	2669	1443	1037
128	2887	2695	1455	1041
256	2946	2739	1484	1047
512	3001	2781	1511	1051
4	2917	2798	1614	1022
16	3179	3006	1738	1053
64	3441	3237	1905	1070
256	3754	3513	2111	1087
